main,guest,for_1,for_2,hav_1,hav_2,corn
Динамо,ЦСКА,2,1,4,5,10
Крылья,Уфа,2,1,3,5,13
Сочи,Ахмат,2,0,4,5,18
Урал,Сочи,1,2,5,5,9
Сочи,Краснодар,3,3,2,3,14
Сочи,Арсенал,2,1,4,4,10
Краснодар,Ростов,3,1,4,5,8
Тамбов,ЦСКА,3,2,1,4,13
Ахмат,Локомотив,1,2,5,4,10
Арсенал,Оренбург,1,1,5,5,12
Рубин,Локомотив,1,1,7,5,13
Локомотив,Зенит,1,3,4,3,4
Крылья,Оренбург,1,2,4,6,13
Зенит,ЦСКА,3,1,3,5,9
Динамо,Ростов,2,1,5,5,8
Тамбов,Оренбург,3,0,2,6,7
Динамо,Тамбов,3,3,3,2,9
Тамбов,Локомотив,2,1,3,5,4
Зенит,Ростов,3,1,4,5,6
Оренбург,Спартак,2,3,4,2,15
Крылья,Тамбов,1,3,5,1,10
Крылья,Спартак,2,1,4,5,10
Спартак,Арсенал,1,1,5,4,9
Урал,Тамбов,0,3,5,3,8
Локомотив,Ахмат,1,1,5,5,9
Рубин,Зенит,2,3,3,3,6
Локомотив,Оренбург,1,1,5,4,9
Рубин,Уфа,1,0,3,7,7
Оренбург,Рубин,0,2,4,5,8
Сочи,Тамбов,2,3,4,2,10
ЦСКА,Спартак,1,2,5,3,8
Ростов,ЦСКА,1,0,3,7,7
Урал,ЦСКА,2,1,5,5,5
ЦСКА,Краснодар,1,2,5,4,9
ЦСКА,Крылья,1,2,5,4,4
Уфа,ЦСКА,2,1,3,5,7
Зенит,Динамо,2,2,4,4,10
Ростов,Краснодар,1,2,4,6,8
Сочи,Ростов,2,3,6,2,18
Крылья,Рубин,2,1,4,5,8
Рубин,Сочи,1,2,5,5,9
Рубин,Тамбов,1,3,5,4,8
Динамо,Сочи,2,2,5,4,9
Ахмат,Уфа,1,1,5,6,6
Локомотив,Крылья,1,1,5,5,12
Рубин,Крылья,1,1,6,6,10
Оренбург,Крылья,1,3,4,4,11
Тамбов,Ростов,3,1,1,5,6
ЦСКА,Ростов,1,1,6,5,8
Тамбов,Зенит,3,3,3,3,9
Уфа,Сочи,1,1,5,5,11
Тамбов,Уфа,3,2,2,3,4
Ахмат,Крылья,1,2,5,4,10
Сочи,Рубин,1,1,4,6,7
Спартак,Краснодар,3,2,4,3,14
Краснодар,Динамо,1,0,5,6,8
Оренбург,Ахмат,1,2,4,5,12
Краснодар,Оренбург,1,2,4,4,13
Сочи,Динамо,2,2,3,4,11
Зенит,Уфа,2,2,3,5,8
Арсенал,Спартак,1,2,5,4,9
Крылья,Урал,1,1,5,5,7
Ростов,Тамбов,2,3,5,2,8
Сочи,Крылья,2,2,4,4,10
Спартак,Зенит,1,2,5,4,10
Краснодар,Тамбов,4,3,1,2,13
Сочи,Урал,3,1,2,5,15
Арсенал,Локомотив,1,1,4,4,10
Локомотив,Спартак,1,1,5,5,9
Арсенал,Урал,2,2,4,5,14
Спартак,Крылья,2,1,4,4,5
Крылья,Ахмат,0,0,6,6,11
Краснодар,Спартак,3,1,3,5,10
Урал,Краснодар,2,1,3,5,9
Краснодар,Уфа,1,2,4,6,6
Уфа,Спартак,0,1,6,4,12
Оренбург,Арсенал,2,1,4,4,10
Ростов,Урал,1,1,5,6,16
